datetime,map,point,condition,trial,verdict,t_converge_s,phase,err_pos_m,err_yaw_deg,x,y,yaw_deg,cov_x,cov_y,truth_src,snap_x,snap_y,snap_yaw_deg,err_pos_snap_m,err_yaw_snap_deg,note
2026-08-31 14:51:04,v2,P1,C1,1,성공,37.8,B,0.000,0.0,-1.853,4.375,-174.0,0.0002,0.0002,snap,,,,,,truth-reg
2026-08-31 14:53:09,v2,P1,C1,1,성공,0.8,A,0.000,0.0,-1.827,4.374,60.6,0.6629,0.6629,snap,,,,,,truth-reg
2026-08-31 14:55:06,v2,P2,C1,1,성공,0.8,A,0.000,0.0,5.674,1.684,-15.7,0.4523,0.4523,snap,,,,,,truth-reg
2026-08-31 14:55:57,v2,P3,C1,1,성공,1.2,A,0.000,0.0,1.172,0.064,-81.9,0.7238,0.7238,snap,,,,,,truth-reg
2026-08-31 14:57:03,v2,P4,C1,1,성공,0.8,A,0.000,0.0,-5.934,7.576,91.3,0.2232,0.2232,snap,,,,,,truth-reg
2026-08-31 14:59:19,v2,P5,C1,1,성공,0.0,A,0.000,0.0,0.523,8.793,149.6,0.0072,0.0073,snap,,,,,,truth-reg
2026-08-31 15:00:22,v2,P6,C1,1,성공,0.2,A,0.000,0.0,-11.178,9.354,-29.1,0.1999,0.2000,snap,,,,,,truth-reg
2026-08-31 15:12:25,v2,P7,C1,1,성공,1.0,A,0.000,0.0,-6.185,4.621,-176.7,0.1537,0.1537,snap,,,,,,truth-reg
2026-08-31 15:37:32,v2.1,P1,C1,0,성공,0.5,A,0.042,1.3,-1.867,4.360,59.3,0.0000,0.0000,snap,,,,,,spotcheck-after-fence-remap
2026-08-31 16:31:06,v2.1,P7,C1,1,미수렴,,,,,,,,,,snap,,,,,,invalid-env-mismatch(fence-removed)
2026-08-31 17:10:47,v2.2,P7,C1,1,성공,33.4,B,0.042,112.0,-6.252,4.749,83.8,0.0005,0.0005,snap,,,,,,minin30
2026-08-31 17:11:23,v2.2,P7,C1,2,성공,0.0,A,0.000,0.1,-6.231,4.758,171.4,0.1400,0.1400,snap,,,,,,minin30
2026-08-31 17:48:29,v2.2,P7,C1,3,미수렴,,,,,,,,,,snap,,,,,,minin30-openfield
2026-08-31 17:50:09,v2.2,P1,C1,1,성공,0.0,A,0.000,0.0,-1.997,4.431,47.6,0.2288,0.2308,snap,,,,,,minin30-openfield
2026-09-01 12:42:15,v2.2,P1,C1,1,성공,0.0,A,0.032,1.9,-1.858,4.371,58.7,0.0001,0.0001,points,-1.869,4.375,58.7,0.011,0.0,joytransit
2026-09-01 12:51:06,v2.2,P1,C1,2,성공,0.0,A,0.028,4.2,-1.855,4.378,64.8,0.0001,0.0001,points,-1.865,4.362,64.9,0.019,0.1,joytransit
2026-09-01 12:53:00,v2.2,P1,C1,3,성공,1.5,A,0.038,4.2,-1.864,4.381,64.8,0.0000,0.0000,points,,,,,,joytransit
2026-09-01 13:33:40,v2.3,P1,C1,0,성공,0.8,A,0.074,0.2,-1.901,4.371,60.8,0.0000,0.0000,points,,,,,,spotcheck-after-cleanup-remap
2026-09-01 13:36:44,v2.3,P7,C1,1,성공,0.0,A,0.091,7.2,-6.085,4.432,178.9,0.3463,0.3463,points,-6.085,4.432,178.9,0.000,0.0,joytransit-retape
2026-09-01 13:40:06,v2.3,P7,C1,2,미수렴,,,,,,,,,,points,,,,,,joytransit-retape
2026-09-01 13:43:23,v2.3,P7,C1,3,미수렴,,,,,,,,,,points,-1.901,4.373,176.1,,,joytransit-retape+snapjump4.15m
2026-09-01 14:07:55,v2.3,P2,C1,1,미수렴,,,,,,,,,,points,-1.903,4.378,60.8,,,joytransit+snapjump8.04m
2026-09-01 14:11:17,v2.3,P2,C1,2,미수렴,,,,,,,,,,points,-1.900,4.375,-11.2,,,joytransit+snapjump8.04m
2026-09-01 14:14:36,v2.3,P2,C1,3,미수렴,,,,,,,,,,points,-1.894,4.373,-20.2,,,joytransit+snapjump8.03m
2026-09-01 14:25:42,v2.3,P4,C1,1,성공,0.0,A,0.132,2.8,-6.017,7.678,88.5,0.4834,0.4834,points,,,,,,joytransit
2026-09-01 14:30:01,v2.3,P4,C1,2,미수렴,,,,,,,,,,points,,,,,,joytransit
2026-09-01 14:33:27,v2.3,P4,C1,3,미수렴,,,,,,,,,,points,-1.902,4.373,86.2,,,joytransit+snapjump5.15m
2026-09-02 12:31:10,v2.3,P1,C1,0,미수렴,,,,,,,,,,points,-1.913,4.380,66.5,,,spotcheck-lightson-0902
2026-09-02 12:43:34,v2.3,P1,C1,0,미수렴,,,,,,,,,,points,-1.933,4.472,171.9,,,spotcheck-lightson-0902-retry
