datetime,point,condition,trial,verdict,t_converge_s,phase,err_pos_m,err_yaw_deg,x,y,yaw_deg,cov_x,cov_y,note
2026-08-30 13:10:01,P1,C1,1,성공,2.6,A,0.000,0.0,4.166,2.280,-12.0,0.0401,0.0401,truth-reg
2026-08-30 13:11:51,P2,C1,1,성공,0.6,A,0.000,0.0,3.091,-5.683,-101.8,0.1884,0.1884,truth-reg
2026-08-30 13:13:50,P3,C1,1,성공,0.5,A,0.000,0.0,0.621,-1.568,-159.2,0.3048,0.3048,truth-reg
2026-08-30 13:14:53,P4,C1,1,성공,1.3,A,0.000,0.0,6.572,7.025,8.4,0.0001,0.0001,truth-reg
2026-08-30 13:27:41,P5,C1,1,성공,2.2,A,0.000,0.0,9.094,0.940,77.3,0.0460,0.0461,truth-reg
2026-08-30 13:29:30,P6,C1,1,성공,2.7,A,0.000,0.0,7.286,12.355,-102.2,0.0476,0.0475,truth-reg
2026-08-30 13:31:20,P7,C1,1,성공,2.1,A,0.000,0.0,3.681,6.593,102.4,0.0200,0.0202,truth-reg
2026-08-30 13:36:08,P7,C1,1,미수렴,,,,,,,,,,pilot-invalid
2026-08-30 13:43:37,P1,C1,1,성공,49.6,B,0.066,124.8,4.185,2.343,112.8,0.0001,0.0001,yaw-judged-fixed(PhaseB)
2026-08-30 13:48:05,P1,C1,2,성공,42.2,B,0.050,114.8,4.203,2.314,102.8,0.0001,0.0001,
2026-08-30 14:03:29,P1,C1,3,성공,25.2,B,0.046,86.7,4.190,2.319,74.7,0.0016,0.0017,launch-cold-auto
